,kW/m^2 str,kW/m^2 str,kW/m^2 str,,,,,,,,,
TEMP(K),I_FDS,I_exact,I_b,,,,,,,,,
2.00E+02,0.018305062,1.83E-02,2.89E-02,,,,,,,,,
3.00E+02,0.092669376,9.24E-02,1.46E-01,,,,,,,,,
4.00E+02,0.29288099,2.92E-01,4.62E-01,,,,,,,,,
500,0.71504148,0.713038728,1.128010659,,,,,,,,,
600,1.48271,1.478557107,2.339042903,,,,,,,,,
800,4.6860959,4.672970609,7.392530656,,,,,,,,,
1000,11.440664,11.40861965,18.04817055,,,,,,,,,
1200,23.72336,23.65691371,37.42468645,,,,,,,,,
1600,74.97753,74.76752975,118.2804905,,,,,,,,,
2000,183.0506,182.5379144,288.7707287,,,,,,,,,
